prefix,temperature,sample_idx,word_count,unique_words,lexical_diversity,distinct_1,distinct_2,distinct_3,word_entropy,avg_sentence_length,repetition_rate,punctuation_rate,degeneration_score,vocab_coverage
The envoy arrived at dawn with gifts from the northern court,0.8,0,91,63,0.6923,0.6923,0.9889,1.0,5.4736,10.11,0.0,0.0727,0.225,0.0126
The envoy arrived at dawn with gifts from the northern court,0.8,1,127,69,0.5433,0.5433,0.881,0.992,5.0728,9.07,0.0,0.0482,0.4125,0.0138
The envoy arrived at dawn with gifts from the northern court,0.8,2,90,57,0.6333,0.6333,0.9101,0.9886,5.1644,8.18,0.0,0.055,0.5375,0.0114
The envoy arrived at dawn with gifts from the northern court,0.8,3,102,65,0.6373,0.6373,0.9307,1.0,5.3464,12.75,0.0,0.0359,0.4125,0.013
The envoy arrived at dawn with gifts from the northern court,0.8,4,81,59,0.7284,0.7284,0.95,1.0,5.5067,6.75,0.0,0.0576,0.35,0.0118
The envoy arrived at dawn with gifts from the northern court,1.0,0,80,63,0.7875,0.7875,0.9747,0.9872,5.6868,6.15,0.0,0.0545,0.225,0.0126
The envoy arrived at dawn with gifts from the northern court,1.0,1,102,69,0.6765,0.6765,0.9901,1.0,5.5614,8.5,0.0,0.0601,0.325,0.0138
The envoy arrived at dawn with gifts from the northern court,1.0,2,100,64,0.64,0.64,0.9192,1.0,5.4233,10.0,0.0,0.0436,0.4125,0.0128
The envoy arrived at dawn with gifts from the northern court,1.0,3,77,55,0.7143,0.7143,0.9737,1.0,5.4137,8.56,0.0,0.0683,0.225,0.011
The envoy arrived at dawn with gifts from the northern court,1.0,4,95,64,0.6737,0.6737,0.9681,1.0,5.4498,6.33,0.0,0.0742,0.2875,0.0128
The minister bowed and said the neighboring state was weak.,0.8,0,112,60,0.5357,0.5357,0.8919,0.9909,5.1009,16.0,0.0,0.0406,0.35,0.012
The minister bowed and said the neighboring state was weak.,0.8,1,115,70,0.6087,0.6087,0.9561,1.0,5.6415,9.58,0.0,0.0483,0.225,0.014
The minister bowed and said the neighboring state was weak.,0.8,2,112,72,0.6429,0.6429,0.9459,1.0,5.6277,10.18,0.0,0.0437,0.2875,0.0144
The minister bowed and said the neighboring state was weak.,0.8,3,144,74,0.5139,0.5139,0.8811,1.0,5.3829,11.08,0.0,0.0303,0.5125,0.0148
The minister bowed and said the neighboring state was weak.,0.8,4,119,86,0.7227,0.7227,0.9492,1.0,6.0574,14.88,0.0,0.0357,0.35,0.0172
The minister bowed and said the neighboring state was weak.,1.0,0,137,95,0.6934,0.6934,0.9853,1.0,6.2448,9.13,0.0,0.0476,0.325,0.019
The minister bowed and said the neighboring state was weak.,1.0,1,124,77,0.621,0.621,0.9512,1.0,5.6579,15.5,0.0,0.0525,0.3875,0.0154
The minister bowed and said the neighboring state was weak.,1.0,2,174,93,0.5345,0.5345,0.9422,0.9942,6.1007,34.8,0.0,0.0207,0.225,0.0186
The minister bowed and said the neighboring state was weak.,1.0,3,134,73,0.5448,0.5448,0.8947,0.9924,5.54,16.75,0.0,0.0451,0.45,0.0146
The minister bowed and said the neighboring state was weak.,1.0,4,145,75,0.5172,0.5172,0.8889,0.993,5.4922,13.18,0.0,0.0309,0.575,0.015
"In the third year of famine, the granaries stood nearly empt",0.8,0,92,64,0.6957,0.6957,0.978,1.0,5.5949,10.22,0.0,0.0539,0.225,0.0128
"In the third year of famine, the granaries stood nearly empt",0.8,1,82,62,0.7561,0.7561,1.0,1.0,5.6908,8.2,0.0,0.06,0.1625,0.0124
"In the third year of famine, the granaries stood nearly empt",0.8,2,101,70,0.6931,0.6931,0.96,1.0,5.6447,6.31,0.0,0.0508,0.2875,0.014
"In the third year of famine, the granaries stood nearly empt",0.8,3,117,64,0.547,0.547,0.8966,0.9826,5.168,13.0,0.0,0.0367,0.4125,0.0128
"In the third year of famine, the granaries stood nearly empt",0.8,4,110,68,0.6182,0.6182,0.9541,1.0,5.3967,18.33,0.0,0.0468,0.2875,0.0136
"In the third year of famine, the granaries stood nearly empt",1.0,0,95,74,0.7789,0.7789,1.0,1.0,5.9948,8.64,0.0,0.0617,0.1625,0.0148
"In the third year of famine, the granaries stood nearly empt",1.0,1,107,78,0.729,0.729,0.9717,1.0,5.8735,10.7,0.0,0.043,0.3875,0.0156
"In the third year of famine, the granaries stood nearly empt",1.0,2,83,65,0.7831,0.7831,0.9878,1.0,5.7453,10.38,0.0,0.0486,0.225,0.013
"In the third year of famine, the granaries stood nearly empt",1.0,3,154,94,0.6104,0.6104,0.9542,1.0,6.1027,12.83,0.0,0.0256,0.2875,0.0188
"In the third year of famine, the granaries stood nearly empt",1.0,4,90,62,0.6889,0.6889,0.9888,1.0,5.4914,15.0,0.0,0.047,0.225,0.0124
The emperor summoned his advisors to discuss the border thre,0.8,0,125,80,0.64,0.64,0.9516,1.0,5.7979,11.36,0.0,0.0445,0.35,0.016
The emperor summoned his advisors to discuss the border thre,0.8,1,77,64,0.8312,0.8312,0.9868,1.0,5.8205,5.5,0.0,0.0737,0.225,0.0128
The emperor summoned his advisors to discuss the border thre,0.8,2,80,58,0.725,0.725,0.9747,1.0,5.512,7.27,0.0,0.0634,0.225,0.0116
The emperor summoned his advisors to discuss the border thre,0.8,3,71,56,0.7887,0.7887,0.9857,1.0,5.6094,14.2,0.0,0.0479,0.325,0.0112
The emperor summoned his advisors to discuss the border thre,0.8,4,7,7,1.0,1.0,1.0,1.0,2.8074,3.5,0.0,0.0099,0.0,0.0014
The emperor summoned his advisors to discuss the border thre,1.0,0,82,66,0.8049,0.8049,0.9877,1.0,5.7613,9.11,0.0,0.0641,0.225,0.0132
The emperor summoned his advisors to discuss the border thre,1.0,1,96,68,0.7083,0.7083,0.9684,1.0,5.6764,6.86,0.0,0.0651,0.2875,0.0136
The emperor summoned his advisors to discuss the border thre,1.0,2,98,65,0.6633,0.6633,0.9588,1.0,5.5246,16.33,0.0,0.0686,0.2875,0.013
The emperor summoned his advisors to discuss the border thre,1.0,3,96,68,0.7083,0.7083,0.9474,1.0,5.7408,8.73,0.0,0.0636,0.35,0.0136
The emperor summoned his advisors to discuss the border thre,1.0,4,26,24,0.9231,0.9231,1.0,1.0,4.5176,26.0,0.0,0.014,0.1625,0.0048
The ruler asked whether it was better to submit or resist.,0.8,0,159,70,0.4403,0.4403,0.8608,0.9809,5.5751,9.94,0.0,0.0583,0.45,0.014
The ruler asked whether it was better to submit or resist.,0.8,1,163,74,0.454,0.454,0.8889,0.9752,5.7173,11.64,0.0,0.0486,0.4125,0.0148
The ruler asked whether it was better to submit or resist.,0.8,2,168,79,0.4702,0.4702,0.8743,0.9699,5.8372,16.8,0.0,0.0425,0.45,0.0158
The ruler asked whether it was better to submit or resist.,0.8,3,160,79,0.4938,0.4938,0.8742,0.9747,5.6586,13.33,0.0,0.0255,0.4125,0.0158
The ruler asked whether it was better to submit or resist.,0.8,4,93,68,0.7312,0.7312,1.0,1.0,5.8346,4.89,0.0,0.064,0.1625,0.0136
The ruler asked whether it was better to submit or resist.,1.0,0,147,86,0.585,0.585,0.9452,0.9862,6.0212,13.36,0.0,0.0499,0.2875,0.0172
The ruler asked whether it was better to submit or resist.,1.0,1,173,80,0.4624,0.4624,0.9012,0.9883,5.815,17.3,0.0,0.0465,0.2875,0.016
The ruler asked whether it was better to submit or resist.,1.0,2,139,91,0.6547,0.6547,0.942,0.9927,6.1727,12.64,0.0,0.0424,0.2875,0.0182
The ruler asked whether it was better to submit or resist.,1.0,3,167,85,0.509,0.509,0.8855,0.9697,5.8627,18.56,0.0,0.0305,0.475,0.017
The ruler asked whether it was better to submit or resist.,1.0,4,86,67,0.7791,0.7791,0.9882,1.0,5.8546,5.73,0.0,0.0758,0.225,0.0134
The general surveyed the battlefield and considered his opti,0.8,0,99,62,0.6263,0.6263,0.9286,0.9794,5.2365,4.95,0.0,0.0542,0.35,0.0124
The general surveyed the battlefield and considered his opti,0.8,1,134,76,0.5672,0.5672,0.8797,0.9924,5.4958,16.75,0.0,0.0241,0.5375,0.0152
The general surveyed the battlefield and considered his opti,0.8,2,83,58,0.6988,0.6988,1.0,1.0,5.5133,3.77,0.0,0.1246,0.1625,0.0116
The general surveyed the battlefield and considered his opti,0.8,3,83,61,0.7349,0.7349,0.9756,1.0,5.591,9.22,0.0,0.0655,0.225,0.0122
The general surveyed the battlefield and considered his opti,0.8,4,143,78,0.5455,0.5455,0.8873,1.0,5.6716,11.0,0.0,0.0366,0.4125,0.0156
The general surveyed the battlefield and considered his opti,1.0,0,84,61,0.7262,0.7262,1.0,1.0,5.588,8.4,0.0,0.0598,0.1625,0.0122
The general surveyed the battlefield and considered his opti,1.0,1,128,86,0.6719,0.6719,0.9843,1.0,5.9845,11.64,0.0,0.0409,0.225,0.0172
The general surveyed the battlefield and considered his opti,1.0,2,166,91,0.5482,0.5482,0.9091,0.9878,6.0226,11.07,0.0,0.0471,0.3875,0.0182
The general surveyed the battlefield and considered his opti,1.0,3,87,63,0.7241,0.7241,1.0,1.0,5.694,9.67,0.0,0.0535,0.1625,0.0126
The general surveyed the battlefield and considered his opti,1.0,4,150,93,0.62,0.62,0.9396,0.9932,6.1127,16.67,0.0,0.04,0.2875,0.0186
"When the alliance collapsed, each kingdom looked to its own ",0.8,0,166,78,0.4699,0.4699,0.8606,0.9451,5.7075,12.77,0.0,0.0397,0.4125,0.0156
"When the alliance collapsed, each kingdom looked to its own ",0.8,1,134,68,0.5075,0.5075,0.8571,0.9697,5.3736,11.17,0.0,0.0435,0.45,0.0136
"When the alliance collapsed, each kingdom looked to its own ",0.8,2,170,76,0.4471,0.4471,0.8107,0.9643,5.6728,15.45,0.0,0.0328,0.475,0.0152
"When the alliance collapsed, each kingdom looked to its own ",0.8,3,139,70,0.5036,0.5036,0.8478,0.9635,5.2592,19.86,0.0,0.0358,0.6,0.014
"When the alliance collapsed, each kingdom looked to its own ",0.8,4,156,77,0.4936,0.4936,0.8903,0.987,5.427,14.18,0.0,0.0298,0.7,0.0154
"When the alliance collapsed, each kingdom looked to its own ",1.0,0,167,91,0.5449,0.5449,0.9337,0.9879,6.0343,13.92,0.0,0.0376,0.35,0.0182
"When the alliance collapsed, each kingdom looked to its own ",1.0,1,157,96,0.6115,0.6115,0.9615,1.0,6.1842,11.21,0.0,0.0301,0.225,0.0192
"When the alliance collapsed, each kingdom looked to its own ",1.0,2,154,92,0.5974,0.5974,0.9412,0.9934,6.0603,11.0,0.125,0.0412,0.3875,0.0184
"When the alliance collapsed, each kingdom looked to its own ",1.0,3,153,84,0.549,0.549,0.9079,0.9868,5.806,15.3,0.0,0.0371,0.2875,0.0168
"When the alliance collapsed, each kingdom looked to its own ",1.0,4,111,72,0.6486,0.6486,0.9545,1.0,5.7071,10.09,0.0,0.0415,0.2875,0.0144
The nature of power is that it changes those who hold it.,0.8,0,174,81,0.4655,0.4655,0.8613,0.9826,5.7633,11.6,0.0,0.0424,0.575,0.0162
The nature of power is that it changes those who hold it.,0.8,1,165,80,0.4848,0.4848,0.8293,0.9448,5.6281,16.5,0.0,0.0331,0.6375,0.016
The nature of power is that it changes those who hold it.,0.8,2,186,77,0.414,0.414,0.7622,0.9185,5.5739,26.57,0.0,0.0221,0.6,0.0154
The nature of power is that it changes those who hold it.,0.8,3,174,79,0.454,0.454,0.8382,0.9826,5.6342,14.5,0.0,0.0418,0.2875,0.0158
The nature of power is that it changes those who hold it.,0.8,4,155,76,0.4903,0.4903,0.8506,0.9804,5.589,11.92,0.0,0.0505,0.5375,0.0152
The nature of power is that it changes those who hold it.,1.0,0,164,81,0.4939,0.4939,0.8589,0.9753,5.7616,23.43,0.0,0.0417,0.4125,0.0162
The nature of power is that it changes those who hold it.,1.0,1,57,49,0.8596,0.8596,1.0,1.0,5.4906,3.8,0.0,0.0863,0.1625,0.0098
The nature of power is that it changes those who hold it.,1.0,2,176,77,0.4375,0.4375,0.8971,0.9943,5.8831,16.0,0.0,0.0429,0.35,0.0154
The nature of power is that it changes those who hold it.,1.0,3,182,83,0.456,0.456,0.8895,0.9778,5.7885,14.0,0.0,0.0294,0.4125,0.0166
The nature of power is that it changes those who hold it.,1.0,4,104,75,0.7212,0.7212,0.9709,1.0,5.9281,8.67,0.0,0.0513,0.2875,0.015
What is remembered depends on who survives to tell the story,0.8,0,140,70,0.5,0.5,0.8561,0.9928,5.181,15.56,0.0,0.0416,0.5375,0.014
What is remembered depends on who survives to tell the story,0.8,1,171,82,0.4795,0.4795,0.8706,0.9763,5.7015,12.21,0.0,0.0486,0.45,0.0164
What is remembered depends on who survives to tell the story,0.8,2,140,71,0.5071,0.5071,0.8417,0.9855,5.2933,20.0,0.0,0.0295,0.6,0.0142
What is remembered depends on who survives to tell the story,0.8,3,151,73,0.4834,0.4834,0.9067,1.0,5.6288,15.1,0.0,0.0747,0.2875,0.0146
What is remembered depends on who survives to tell the story,0.8,4,79,58,0.7342,0.7342,0.9487,0.987,5.5193,7.18,0.0,0.0556,0.225,0.0116
What is remembered depends on who survives to tell the story,1.0,0,169,90,0.5325,0.5325,0.9464,0.994,6.0203,18.78,0.0,0.0391,0.325,0.018
What is remembered depends on who survives to tell the story,1.0,1,142,88,0.6197,0.6197,0.9716,1.0,6.0088,12.91,0.0,0.0394,0.225,0.0176
What is remembered depends on who survives to tell the story,1.0,2,152,92,0.6053,0.6053,0.947,1.0,6.0288,15.2,0.0,0.0429,0.2875,0.0184
What is remembered depends on who survives to tell the story,1.0,3,176,83,0.4716,0.4716,0.9086,0.9943,5.9078,16.0,0.0,0.0413,0.3875,0.0166
What is remembered depends on who survives to tell the story,1.0,4,160,83,0.5188,0.5188,0.9057,1.0,5.7403,14.55,0.0,0.0348,0.4125,0.0166
The merchant counted his coins and frowned at the total.,0.8,0,82,55,0.6707,0.6707,1.0,1.0,5.4626,3.04,0.0,0.1136,0.2625,0.011
The merchant counted his coins and frowned at the total.,0.8,1,111,61,0.5495,0.5495,0.8909,1.0,5.3183,9.25,0.0,0.0514,0.2875,0.0122
The merchant counted his coins and frowned at the total.,0.8,2,37,32,0.8649,0.8649,1.0,1.0,4.8647,4.11,0.0,0.0536,0.1625,0.0064
The merchant counted his coins and frowned at the total.,0.8,3,93,62,0.6667,0.6667,0.9348,1.0,5.5484,10.33,0.0,0.0488,0.35,0.0124
The merchant counted his coins and frowned at the total.,0.8,4,86,60,0.6977,0.6977,0.9765,1.0,5.4074,6.14,0.0,0.066,0.2875,0.012
The merchant counted his coins and frowned at the total.,1.0,0,97,65,0.6701,0.6701,0.9688,1.0,5.555,5.39,0.0,0.0638,0.225,0.013
The merchant counted his coins and frowned at the total.,1.0,1,117,79,0.6752,0.6752,0.9828,1.0,5.8703,9.0,0.0,0.0313,0.225,0.0158
The merchant counted his coins and frowned at the total.,1.0,2,123,72,0.5854,0.5854,0.9426,1.0,5.6417,12.3,0.0,0.0289,0.35,0.0144
The merchant counted his coins and frowned at the total.,1.0,3,102,72,0.7059,0.7059,0.9901,1.0,5.8183,6.38,0.0,0.0484,0.225,0.0144
The merchant counted his coins and frowned at the total.,1.0,4,106,76,0.717,0.717,0.9905,1.0,5.7409,10.6,0.0,0.044,0.225,0.0152
She walked to the edge of the river and looked across.,0.8,0,114,68,0.5965,0.5965,0.9292,1.0,5.3283,6.71,0.0,0.0479,0.225,0.0136
She walked to the edge of the river and looked across.,0.8,1,128,66,0.5156,0.5156,0.8819,0.9921,5.0272,16.0,0.0,0.0269,0.575,0.0132
She walked to the edge of the river and looked across.,0.8,2,72,52,0.7222,0.7222,0.9718,1.0,5.3834,3.6,0.0,0.1388,0.2875,0.0104
She walked to the edge of the river and looked across.,0.8,3,91,54,0.5934,0.5934,0.9444,1.0,5.2887,2.84,0.0,0.1134,0.425,0.0108
She walked to the edge of the river and looked across.,0.8,4,106,71,0.6698,0.6698,0.9429,1.0,5.5994,7.07,0.0,0.0629,0.35,0.0142
She walked to the edge of the river and looked across.,1.0,0,87,62,0.7126,0.7126,0.9535,1.0,5.542,6.21,0.0,0.0789,0.225,0.0124
She walked to the edge of the river and looked across.,1.0,1,87,67,0.7701,0.7701,1.0,1.0,5.7702,5.44,0.0,0.0664,0.1625,0.0134
She walked to the edge of the river and looked across.,1.0,2,85,58,0.6824,0.6824,1.0,1.0,5.3816,8.5,0.0,0.0547,0.1625,0.0116
She walked to the edge of the river and looked across.,1.0,3,103,68,0.6602,0.6602,0.9608,1.0,5.634,7.92,0.0,0.0543,0.2875,0.0136
She walked to the edge of the river and looked across.,1.0,4,123,82,0.6667,0.6667,0.9918,1.0,5.8872,12.3,0.0,0.0575,0.225,0.0164
The structure of the bridge relied on three main supports.,0.8,0,106,65,0.6132,0.6132,0.9238,1.0,5.5687,7.07,0.0,0.0617,0.3875,0.013
The structure of the bridge relied on three main supports.,0.8,1,75,47,0.6267,0.6267,0.9595,1.0,5.1467,3.75,0.0,0.135,0.325,0.0094
The structure of the bridge relied on three main supports.,0.8,2,99,65,0.6566,0.6566,0.9694,1.0,5.5824,6.19,0.0,0.058,0.3875,0.013
The structure of the bridge relied on three main supports.,0.8,3,81,59,0.7284,0.7284,0.9625,1.0,5.6248,6.75,0.0,0.0519,0.2875,0.0118
The structure of the bridge relied on three main supports.,0.8,4,40,39,0.975,0.975,1.0,1.0,5.2719,5.0,0.0,0.0698,0.1625,0.0078
The structure of the bridge relied on three main supports.,1.0,0,142,71,0.5,0.5,0.8936,1.0,5.27,17.75,0.0,0.0371,0.6,0.0142
The structure of the bridge relied on three main supports.,1.0,1,120,76,0.6333,0.6333,0.9916,1.0,5.6859,13.33,0.0,0.0306,0.225,0.0152
The structure of the bridge relied on three main supports.,1.0,2,149,71,0.4765,0.4765,0.8311,0.9796,5.2219,18.62,0.0,0.0268,0.6,0.0142
The structure of the bridge relied on three main supports.,1.0,3,104,72,0.6923,0.6923,0.9806,1.0,5.813,8.0,0.0,0.0503,0.225,0.0144
The structure of the bridge relied on three main supports.,1.0,4,95,65,0.6842,0.6842,0.9787,1.0,5.592,9.5,0.0,0.0452,0.225,0.013
